img_path,class
./csvs/mnist/img1.jpg,5
./csvs/mnist/img2.jpg,0
./csvs/mnist/img3.jpg,4
./csvs/mnist/img4.jpg,1
./csvs/mnist/img5.jpg,9
./csvs/mnist/img6.jpg,2
./csvs/mnist/img7.jpg,1
./csvs/mnist/img8.jpg,3
./csvs/mnist/img9.jpg,1
./csvs/mnist/img10.jpg,4
./csvs/mnist/img11.jpg,3
./csvs/mnist/img12.jpg,5
./csvs/mnist/img13.jpg,3
./csvs/mnist/img14.jpg,6
./csvs/mnist/img15.jpg,1
./csvs/mnist/img16.jpg,7
./csvs/mnist/img17.jpg,2
./csvs/mnist/img18.jpg,8
./csvs/mnist/img19.jpg,6
./csvs/mnist/img20.jpg,9
./csvs/mnist/img21.jpg,4
./csvs/mnist/img22.jpg,0
./csvs/mnist/img23.jpg,9
./csvs/mnist/img24.jpg,1
./csvs/mnist/img25.jpg,1
./csvs/mnist/img26.jpg,2
./csvs/mnist/img27.jpg,4
./csvs/mnist/img28.jpg,3
./csvs/mnist/img29.jpg,2
./csvs/mnist/img30.jpg,7
./csvs/mnist/img31.jpg,3
./csvs/mnist/img32.jpg,8
./csvs/mnist/img33.jpg,6
./csvs/mnist/img34.jpg,9
./csvs/mnist/img35.jpg,0
./csvs/mnist/img36.jpg,5
./csvs/mnist/img37.jpg,6
./csvs/mnist/img38.jpg,0
./csvs/mnist/img39.jpg,7
./csvs/mnist/img40.jpg,6
./csvs/mnist/img41.jpg,1
./csvs/mnist/img42.jpg,8
./csvs/mnist/img43.jpg,7
./csvs/mnist/img44.jpg,9
./csvs/mnist/img45.jpg,3
./csvs/mnist/img46.jpg,9
./csvs/mnist/img47.jpg,8
./csvs/mnist/img48.jpg,5
./csvs/mnist/img49.jpg,9
./csvs/mnist/img50.jpg,3
./csvs/mnist/img51.jpg,3
./csvs/mnist/img52.jpg,0
./csvs/mnist/img53.jpg,7
./csvs/mnist/img54.jpg,4
./csvs/mnist/img55.jpg,9
./csvs/mnist/img56.jpg,8
./csvs/mnist/img57.jpg,0
./csvs/mnist/img58.jpg,9
./csvs/mnist/img59.jpg,4
./csvs/mnist/img60.jpg,1
./csvs/mnist/img61.jpg,4
